hName,hGender,hClass,hOcc,hLoc,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOcc,bLocale,bActive,bID,bOMID,term,preg_mo,pL,pD,pF,pS,actTitle,actDate,actYear,ActDescription,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItemOMID,rights,actID,actTitle,actOMID,,,,,,,,,,,,,,,,,,,,,,,,,,
Pietro Lecavello,male,nobiles,,,1404–1429,f0efdb9c-b21e-406a-b757-bef2abd90213,38783,an unnamed enslaved woman,,,,female,,–1429,89cffc36-4d15-4981-9aef-364ebf38948e,39218,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,100,,,,"Branca Bagnara, filza 1, series II, item dated 1429-08-16",1429-08-16,1429,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 648,11d750e8-849d-41ba-8684-a00ff903457b,37813,Archivio di stato di Genova,3ef0a804-980f-473d-ac00-3e9404d85707,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pietro Lomellini,male,nobiles,,,1404–1429,50cb1e7a-9444-454c-a874-e78b487c2273,38784,Maria,,,,female,,–1429,6f68318b-947c-4ad6-be7e-31dc83af152a,39219,Antoniotto Ittaliano,male,nobiles,,,1405–1430,8828edf3-6b30-416f-9a34-3ebd521d2842,23751,,,,100,,,"Branca Bagnara, filza 19, series II, nr. 195",1429,1429,,Branca Bagnara,2d251b92-d5ab-499a-80db-450e306ac801,23065,Notai antichi 666,fd5f6c32-135f-49d1-9949-eaa0f7d6679a,39289,Archivio di stato di Genova,6308aec0-cae6-43d3-a61d-30766fb7f18d,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franchetta Marco,female,religious,27575,,1433–1458,8b4d8040-28c7-4b4f-9d60-f2167cbf4a10,38716,Maria,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,25,1433–1458,1e02ce30-3600-4e90-9651-4792e3f026ef,39122,Goffredo Lercari,male,nobiles,,,1433–1458,b757cfc2-cb2c-4c52-90bd-22d0deea8b12,23842,,,150,,,,"Bartolomeo Risso, filza 5, series III, nr. 97c",1458-02-20,1458,,Bartolomeo Risso,327f6750-eb71-41b2-9c5a-deb15e5e0785,25517,Notai antichi 719,b6aa2ee9-3d86-4073-bdab-aa5b88cf304a,37824,Archivio di stato di Genova,1e660d25-29a3-47f4-88c0-89bd3c5e6065,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giacomo Maricone,male,mercantes,,,1460–1485,e6044843-d439-46ae-8453-b722495c967a,38724,Maddalena,Bulgarian,d3b57a91-3e55-4d34-89b7-5db6e259c5cb,31541,female,22,1463–1485,d25870bc-8704-4a03-b03e-c027e9e5d7da,39132,Ambrogio Lomellini,male,nobiles,,,1460–1485,64d1de39-0034-40b8-b4fa-e23b50749a27,23907,6,5,,80,,,"Tommaso Duracino, filza 25, series II, nr. 3",1485-01-04,1485,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 912,39c48376-ee91-4a27-91f5-204d9e21bad9,37851,Archivio di stato di Genova,bf208449-af39-492d-867d-374d357b11cb,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommaso Narixio,male,,,,1459–1484,f7379f41-20d0-4530-9ae0-647f51109916,38795,Lucia,Albanian,eff5f423-f260-4a5e-8a8b-42cdfc3b5f84,31272,female,24,1460–1484,39118b65-6b0a-4748-a9d4-47e91a16571b,39250,Ambrogio Lomellini,male,nobiles,,,1459–1484,64d1de39-0034-40b8-b4fa-e23b50749a27,23907,7,4,50,,,,"Tommaso Duracino, filza 25, series I, nr. 399",1484-09-22,1484,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 912,39c48376-ee91-4a27-91f5-204d9e21bad9,37851,Archivio di stato di Genova,5751ffc7-a903-4add-b1a7-45e4d798101a,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriele Marchione,male,mercantes,,,1439–1464,59e6b989-0125-4bb5-856f-452d1f288a15,30336,Caterina,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,20,1444–1464,d88c255a-1845-45f7-bcd4-895362afe3aa,34920,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,4,7,200,,,,"Tommaso Duracino, filza 7, series II, nr. 133",1464-06-28,1464,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 894,a94058bf-7e65-489c-b6f0-8e5c16d11516,37838,Archivio di stato di Genova,e8a4300d-f071-4c28-ad26-f0bac968bb20,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Erene,male,,,,1431–1456,c2e58858-c6d1-495b-8ef3-4e5a71da8cc5,26510,Lucia,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,26,1430–1456,f34a42af-0348-4fa7-9854-c766e64b9e8e,35233,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,8,3,150,,,,"Tommaso Duracino, filza 2, series II, nr. 224",1456-09-03,1456,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,3b538572-bc98-4b4c-8708-921f37a33edc,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giacomo Cicala,male,nobiles,,,1431–1468,668252ee-57a9-4958-bab4-8e504f148b13,30373,Lucia,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,25,1443–1468,2d001d9b-7dcd-419e-bb06-85753ca7bf49,35300,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,4,7,150,,,,"Tommaso Duracino, filza 11, nr. 448",1468-06-20,1468,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 898,058e1333-2cf5-4e59-89b5-4660111dd77a,39293,Archivio di stato di Genova,5ada0716-f29a-4175-9884-ee744a2f7268,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnaba Fieschi,male,nobiles,,,1443–1468,e757fac4-a8e2-455f-9344-95e47ecb3a23,30035,Lucia,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,29,1439–1468,e6e11d16-c174-4d6c-aba7-eec20f6b65b1,35859,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,3,8,200,,,,"Tommaso Duracino, filza 11, nr. 223",1468-03-22,1468,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 898,058e1333-2cf5-4e59-89b5-4660111dd77a,39293,Archivio di stato di Genova,d96f2feb-4b8f-4c4b-9e03-b7b961036877,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Spinola,male,nobiles,,,1440–1466,b40df6c7-5a37-4918-80bf-4b0fa61ecbc2,25603,Caterina,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,40,1426–1466,96f31615-6638-45db-a097-4e68d6108208,39039,Baldassare Lomellini,male,nobiles,,,1431–1497,4990db49-1500-47dd-8a97-0e86573ec128,24010,4,7,150,,,,"Tommaso Duracino, filza 9, nr. 372",1466-07-10,1466,,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 896,15625c91-55bf-493d-8d7e-8257de7905ed,37076,Archivio di stato di Genova,683afca8-832e-418a-85ae-26ac666a2e33,Asecuratio sclave,,,,,,,,,,,,,,,,,,,,,,,,,,,
