resource_id,tileid,nodegroup,,,,,,,,,,,,,,,,,,,,
--,--,marriage  (n),marriage_number,p107_has_current_or_former_member,,,,,,,,,,,,,,,,,,
8963bdc4-f19a-482e-a019-9b6f2274c283,,,,40768,,,,,,,,,,,,,,,,,,
9c7fc449-6ab5-4882-b5bc-2801764c17df,,,,41189,,,,,,,,,,,,,,,,,,
5f672527-d6b3-4e40-9cf5-c5a3cbe802da,,,,29998,,,,,,,,,,,,,,,,,,
7fad60b0-3673-48a6-b4e1-3d6f9db65a3a,,,,41830,,,,,,,,,,,,,,,,,,
c70cf9f9-a298-49b3-804b-a4e96939b64c,,,,24534,,,,,,,,,,,,,,,,,,
e7841cd3-33c4-42b9-94f6-ef6c17074e38,,,,30762,,,,,,,,,,,,,,,,,,
2ba3df00-a217-4762-83d1-693905bbabbd,,,,23476,,,,,,,,,,,,,,,,,,
50409aa3-819c-4309-868f-4ecf7fe484d6,,,,27735,,,,,,,,,,,,,,,,,,
232b7f6f-0a09-475f-8444-4261c2c8581e,,,,42938,,,,,,,,,,,,,,,,,,
e1dfd135-d02c-46f9-a1c8-2bda7da156f3,,,,44010,,,,,,,,,,,,,,,,,,
25a3eb75-c05c-4f6a-a1f4-b1f9821bcae5,,,,40696,,,,,,,,,,,,,,,,,,
e701793b-640d-4c70-9681-484ce235c2a9,,,,26357,,,,,,,,,,,,,,,,,,
2bd6478f-eaa2-4736-bcd4-da81f35c2456,,,,,,,,,,,,,,,,,,,,,,
922e0f97-6693-4dfe-8ebc-7a0f520c69e2,,,,24410,,,,,,,,,,,,,,,,,,
a45f4938-4648-4861-894b-bd120a910629,,,,,,,,,,,,,,,,,,,,,,
db59ec91-afc7-4276-8efc-138bcea1a795,,,,23870,,,,,,,,,,,,,,,,,,
1bd30ba5-e3f1-4277-b550-a71fa2abe717,,,,,,,,,,,,,,,,,,,,,,
5f66e761-0641-464f-bd2a-582b557b6749,,,,24236,,,,,,,,,,,,,,,,,,
19990d26-0b2f-4dde-b903-d03adaf14ce1,,,,,,,,,,,,,,,,,,,,,,
4af90bde-f18c-431d-bc25-f7fe6b1900bd,,,,,,,,,,,,,,,,,,,,,,
bb9e8b78-bfd8-49b1-8efb-90b04cfe9867,,,,,,,,,,,,,,,,,,,,,,
027753c7-6209-4f4d-a875-3f74cfbc8dd3,,,,,,,,,,,,,,,,,,,,,,
4a834801-8bcd-44fc-add7-88943f423af9,,,,,,,,,,,,,,,,,,,,,,
17a1050d-d082-48cd-ac55-50314294637d,,,,,,,,,,,,,,,,,,,,,,
0869a800-07e2-42ea-a7cd-8d3d26e47028,,,,24019,,,,,,,,,,,,,,,,,,
abd73b5e-3ccd-462c-885c-2b18d082502a,,,,,,,,,,,,,,,,,,,,,,
13637a95-3ade-4769-8dd8-2503f18a5ad8,,,,,,,,,,,,,,,,,,,,,,
d7ea03c8-ca4e-4580-941a-7cb3759f33e9,,,,,,,,,,,,,,,,,,,,,,
ec501e17-5c67-4b26-8de1-682f6da450a6,,,,,,,,,,,,,,,,,,,,,,
eaeeda24-ab84-495d-bb3d-a7d5d8ed1306,,,,24764,,,,,,,,,,,,,,,,,,
5f0d51d0-a62d-4a97-8428-51315a6d453d,,,,,,,,,,,,,,,,,,,,,,
c5c37019-11f2-41b7-b51b-8d00da5a6a0b,,,,,,,,,,,,,,,,,,,,,,
a123a610-3b9e-4d76-bed7-7d76f3fea3e4,,,,,,,,,,,,,,,,,,,,,,
fe55a1a8-c96b-4dfa-abd8-cda987128c1a,,,,,,,,,,,,,,,,,,,,,,
f62f6776-803b-42ad-bf0c-73725bf9ddd9,,,,27579,,,,,,,,,,,,,,,,,,
e95b9873-667a-491c-94aa-274f3ede2ac2,,,,,,,,,,,,,,,,,,,,,,
966a44a3-2e79-4b85-9bff-02593c01aaa2,,,,,,,,,,,,,,,,,,,,,,
8bb99eeb-0a6b-4638-90e6-ebb349ccfd10,,,,,,,,,,,,,,,,,,,,,,
3c4ab0b3-8b1f-4f5d-87fc-77b595c47f9c,,,,,,,,,,,,,,,,,,,,,,
d52f8330-4a70-4c0f-a0b0-a0f58c3598ac,,,,,,,,,,,,,,,,,,,,,,
a140bf78-8c12-441b-a01d-ac9e91c47011,,,,,,,,,,,,,,,,,,,,,,
a1925849-dc33-4cd5-9f89-bebb280983b8,,,,,,,,,,,,,,,,,,,,,,
13ff847c-6fcc-4d63-be9e-ba0a8631092f,,,,,,,,,,,,,,,,,,,,,,
a57a7d46-8e54-4feb-84cf-14ed6171de6f,,,,,,,,,,,,,,,,,,,,,,
3a6a403a-836a-497e-8d68-208472db9b6f,,,,23771,,,,,,,,,,,,,,,,,,
a451a0a2-026b-4421-ae92-bd9c12cc565a,,,,,,,,,,,,,,,,,,,,,,
3fb5ef5b-98d7-4324-afab-29b37f34fec1,,,,37397,,,,,,,,,,,,,,,,,,
99325117-67ee-45e1-8dca-8e8bcc8ea219,,,,25231,,,,,,,,,,,,,,,,,,
d75bf206-9bb4-44f5-8f69-6d671742effb,,,,25508,,,,,,,,,,,,,,,,,,
c56afacc-fa22-4d31-a7f9-377782727318,,,,25776,,,,,,,,,,,,,,,,,,
76314e7b-cd33-4cb9-aedb-ac9ebbb24109,,,,23501,,,,,,,,,,,,,,,,,,
44908bd0-77b1-4f19-bd19-f4e6dbfd9057,,,,,,,,,,,,,,,,,,,,,,
c6e80096-5df3-4088-aa38-0e81ec4a427b,,,,,,,,,,,,,,,,,,,,,,
7b011163-2325-4348-a358-a588b969fd05,,,,,,,,,,,,,,,,,,,,,,
0284b1d0-88a0-44bc-a74c-9559e507effb,,,,,,,,,,,,,,,,,,,,,,
887e631e-94a6-421c-b43d-8499c376e46d,,,,,,,,,,,,,,,,,,,,,,
e8237a4d-9717-4949-b0fb-c87338457938,,,,24634,,,,,,,,,,,,,,,,,,
ca000e5e-967a-4684-b4b0-bfee67f65abb,,,,,,,,,,,,,,,,,,,,,,
9e8da0a0-788d-4c95-8387-2ea7a5936e9e,,,,,,,,,,,,,,,,,,,,,,
0588178d-bb57-417d-9224-9f32e6c99067,,,,,,,,,,,,,,,,,,,,,,
6d2f5038-c297-42e2-9871-3ddc49e90223,,,,,,,,,,,,,,,,,,,,,,
fbf26eed-a300-4c5f-b8cc-e9cfa95406b7,,,,,,,,,,,,,,,,,,,,,,
5c168bef-a2c2-49ce-95aa-cf7077be3937,,,,,,,,,,,,,,,,,,,,,,
bc18a1b5-2252-4f4c-942b-ae308505f430,,,,,,,,,,,,,,,,,,,,,,
601b1458-47e5-4c5b-b707-61a77824fe62,,,,,,,,,,,,,,,,,,,,,,
8f7e863c-616c-474a-9f24-a0520489fdaf,,,,,,,,,,,,,,,,,,,,,,
