id,family id,parent id,1st last name,2nd last name,first name,middle name,Formalized name,full name,birth_place,occupation,Birth_year,death_year,partner first name,parner 1st last name,partner 2nd last name,partner id,statement,Column1
SP31SP000789,,,Hoyo,,Fernando,,Fernando  Hoyo ,Fernando de hoyo,,maritime pilots,0,0,,,,,maestre nao santa maria,
SP31SP001330,,,Becerra,,Pedro,,Pedro  Becerra ,Pedro Becerra,,,0,0,,,,,neighbour Malaga,
SP31SP001751,,,Tomás,,Alfonso,,Alfonso  Tomás ,Alfonso Tomas,,merchants,0,0,,,,,neighbour Malaga c de los marties,
SP31SP001763,,,Velsco,,Juan,,Juan  Velsco ,Juan de Velasco,,,0,0,,,,,neighbour Malaga,
SP33SP000202,,,Díaz,Maldonado,Ruy,,Ruy  Díaz Maldonado,Ruy Díaz Maldonado,,,0,0,,,,,"comendador de Heliche y la Moraleja, vecino de la ciudad de Salamanca",
SP35SP000127,,,Pérez,Jarada,Gonzalo,,Gonzalo  Pérez Jarada,Gonzalo Pérez de Jarada,,,0,0,,,,,"Neighbour of Illescas, recaudador mayor condemned by royal justice",
SP36SP000338,,,Basurto,,Diego,,Diego  Basurto ,Diego de Basurto,,merchants,0,0,,,,,servant of Martin de Villasante,
SP36SP002052,,,Melgar,,Fernando,,Fernando  Melgar ,Fernando de Melgar,,,0,0,,,,,neighbour medina del rioseco.,
SP37SP000215,,,Ribas,,Bernaldo,,Bernaldo  Ribas ,Bernaldo Ribas,,merchants,0,0,,,,,estante en la Corte de su alteza,
SP37SP000255,,,Cuéllar,,Antonio,,Antonio  Cuéllar ,Antonio de Cuéllar,,lawyers,0,0,,,,,neighbour of medina del campo,
SP37SP000256,,,Portillo,,Antonio,,Antonio  Portillo ,Antonio de Portillo,,,0,0,,,,,neighbour of medina del campo,
SP37SP000257,,,Medina,,Nicolás,,Nicolás  Medina ,Nicolás de Medina,,servants,0,0,,,,,neighbour of medina del campo,
SP37SP001557,,,Medina,,Cristobal,,Cristobal  Medina ,Cristobal de Medina,,,0,0,,,,,one of the renters of the almojarisfasgo mayor de sevilla in 1526,
SP37SP001558,,,Medina,,Antonio,,Antonio  Medina ,Antonio de Medina,,,0,0,,,,,one of the renters of the almojarisfasgo mayor de sevilla in 1526,
SP37SP001572,,,Quenca,,Diego,,Diego  Quenca ,Diego de Quenca,37SP,servants,0,0,,,,,born in medina del campo works for jacome castiglione e in idies ,
