From,To,Label,,,,
24409,25003,Has Child,,,,
24371,25035,Has Child,,,,
23206,25047,Has Child,,,,
24534,25047,Has Child,,,,
24350,25054,Has Child,,,,
23021,25057,Has Child,,,,
23945,25057,Has Child,,,,
24066,25072,Has Child,,,,
24146,25104,Has Child,,,,
24202,25104,Has Child,,,,
24554,25121,Has Child,,,,
23190,25123,Has Child,,,,
24916,25123,Has Child,,,,
23021,25125,Has Child,,,,
23945,25125,Has Child,,,,
24371,25146,Has Child,,,,
23211,25149,Has Child,,,,
24837,25149,Has Child,,,,
23218,25197,Has Child,,,,
24409,25197,Has Child,,,,
24864,25208,Has Child,,,,
24780,25644,Has Child,,,,
23990,25652,Has Child,,,,
25760,25661,Has Child,,,,
25760,25666,Has Child,,,,
24641,27753,Has Child,,,,
24325,38611,Has Child,,,,
26082,26315,Is Located At,,,,
40704,26315,Is Located At,,,,
26082,24157,Is Owned By,,,,
40704,24157,Is Owned By,,,,
26082,24202,Is Owned By,,,,
26069,26211,Is Part Of,,,,
26413,26211,Is Part Of,,,,
26458,26211,Is Part Of,,,,
31317,31327,Is Part Of,,,,
39431,37834,Is Part Of,,,,
39432,37834,Is Part Of,,,,
39469,37837,Is Part Of,,,,
39474,37837,Is Part Of,,,,
39488,37838,Is Part Of,,,,
23891,23013,Married To,,,,
23945,23021,Married To,,,,
24205,23070,Married To,,,,
23891,23074,Married To,,,,
24816,23188,Married To,,,,
23989,23189,Married To,,,,
24916,23190,Married To,,,,
24371,23191,Married To,,,,
24103,23192,Married To,,,,
24820,23195,Married To,,,,
24852,23196,Married To,,,,
24982,23198,Married To,,,,
24593,23199,Married To,,,,
24360,23202,Married To,,,,
25203,23203,Married To,,,,
25064,23204,Married To,,,,
24534,23206,Married To,,,,
24837,23211,Married To,,,,
23982,23213,Married To,,,,
24586,23214,Married To,,,,
23918,23216,Married To,,,,
23932,23217,Married To,,,,
24409,23218,Married To,,,,
24853,23219,Married To,,,,
24651,23220,Married To,,,,
24435,23221,Married To,,,,
24439,23222,Married To,,,,
24325,23228,Married To,,,,
25390,23232,Married To,,,,
24204,23257,Married To,,,,
24641,23261,Married To,,,,
24192,23270,Married To,,,,
24864,23285,Married To,,,,
25064,23316,Married To,,,,
24940,23349,Married To,,,,
24349,23362,Married To,,,,
24584,23389,Married To,,,,
25104,23439,Married To,,,,
24554,23440,Married To,,,,
24513,23514,Married To,,,,
24143,23542,Married To,,,,
24842,23623,Married To,,,,
24894,23634,Married To,,,,
24864,23660,Married To,,,,
24409,23704,Married To,,,,
24349,23735,Married To,,,,
24216,23864,Married To,,,,
24066,23910,Married To,,,,
23216,23918,Married To,,,,
23217,23932,Married To,,,,
23021,23945,Married To,,,,
23213,23982,Married To,,,,
23189,23989,Married To,,,,
24435,23995,Married To,,,,
25390,24024,Married To,,,,
25765,24063,Married To,,,,
25637,24064,Married To,,,,
23192,24103,Married To,,,,
23542,24143,Married To,,,,
24202,24146,Married To,,,,
24724,24201,Married To,,,,
24146,24202,Married To,,,,
23257,24204,Married To,,,,
23070,24205,Married To,,,,
25487,24299,Married To,,,,
23228,24325,Married To,,,,
23202,24360,Married To,,,,
23191,24371,Married To,,,,
23218,24409,Married To,,,,
24199,24424,Married To,,,,
23221,24435,Married To,,,,
23995,24435,Married To,,,,
23222,24439,Married To,,,,
24810,24492,Married To,,,,
25370,24494,Married To,,,,
23206,24534,Married To,,,,
23214,24586,Married To,,,,
23199,24593,Married To,,,,
23220,24651,Married To,,,,
25492,24669,Married To,,,,
24976,24698,Married To,,,,
25771,24719,Married To,,,,
24201,24724,Married To,,,,
25470,24797,Married To,,,,
23188,24816,Married To,,,,
23195,24820,Married To,,,,
23211,24837,Married To,,,,
23196,24852,Married To,,,,
23219,24853,Married To,,,,
23660,24864,Married To,,,,
24064,24898,Married To,,,,
23190,24916,Married To,,,,
23198,24982,Married To,,,,
23145,24989,Married To,,,,
25760,25063,Married To,,,,
23204,25064,Married To,,,,
25330,25102,Married To,,,,
25698,25130,Married To,,,,
23203,25203,Married To,,,,
25102,25330,Married To,,,,
24494,25370,Married To,,,,
24983,25383,Married To,,,,
24501,25448,Married To,,,,
24299,25487,Married To,,,,
24288,25522,Married To,,,,
24835,25536,Married To,,,,
24976,25618,Married To,,,,
24586,25628,Married To,,,,
24064,25637,Married To,,,,
23990,25656,Married To,,,,
24780,25696,Married To,,,,
24325,25772,Married To,,,,
24952,25800,Married To,,,,
24371,25817,Married To,,,,
23890,25847,Married To,,,,
27753,27754,Married To,,,,
40442,40441,Married To,,,,
40441,40442,Married To,,,,
23195,31356,Nationality,,,,
38611,31356,Nationality,,,,
26069,23448,Notary,,,,
26413,23448,Notary,,,,
26458,23448,Notary,,,,
39431,23448,Notary,,,,
39432,23448,Notary,,,,
39469,23448,Notary,,,,
39474,23448,Notary,,,,
39488,23448,Notary,,,,
36132,25450,Notary,,,,
31317,25512,Notary,,,,
36402,31238,Notary,,,,
31317,25487,Object,,,,
26069,26081,Object,,,,
26413,26424,Object,,,,
26458,31309,Object,,,,
