de, ,Campenago, ,, ,,de Campenago  ,,
de, ,Campionibus, ,, ,,de Campionibus  ,,
de, ,Campis, ,, ,,de Campis  ,,
de, ,Campomorono, ,, ,,de Campomorono  ,,
de, ,Camponestaxio, ,, ,,de Camponestaxio  ,,
de, ,Camuliano, ,, ,,de Camuliano  ,,
de, ,Camulio,,, ,,de Camulio ,,
de, ,Canalis, ,, ,,de Canalis  ,,
de, ,Cancelleriis, ,, ,,de Cancelleriis  ,,
de, ,Candeasco, ,, ,,de Candeasco  ,,
de, ,Caneto, ,, ,,de Caneto  ,,
de, ,Canevalis, ,, ,,de Canevalis  ,,
de, ,Canicia, ,, ,,de Canicia  ,,
de, ,Canobio, ,, ,,de Canobio  ,,
de, ,Canturio, ,, ,,de Canturio  ,,
de, ,Capale, ,, ,,de Capale  ,,
de, ,Capeletto, ,, ,,de Capeletto  ,,
de, ,Caponego, ,, ,,de Caponego  ,,
de, ,Capriata, ,, ,,de Capriata  ,,
de, ,Carbonara, ,, ,,de Carbonara  ,,
de, ,Carexeto, ,, ,,de Carexeto  ,,
de, ,Carlo, ,, ,,de Carlo  ,,
de, ,Carmagnola, ,, ,,de Carmagnola  ,,
de, ,Carmandino, ,, ,,de Carmandino  ,,
de, ,Carmo, ,, ,,de Carmo  ,,
de, ,Caro, ,, ,,de Caro  ,,
de, ,Carpeneto, ,, ,,de Carpeneto  ,,
de, ,Carpina, ,, ,,de Carpina  ,,
de, ,Carretto,,, ,,de Carretto ,,
de, ,Casaldaguila, ,, ,,de Casaldaguila  ,,
de, ,Casale, ,, ,,de Casale  ,,
de, ,Casamavaro, ,, ,,de Casamavaro  ,,
de, ,Casaretto, ,, ,,de Casaretto  ,,
de, ,Cassina, ,, ,,de Cassina  ,,
de, ,Cassotana, ,, ,,de Cassotana  ,,
de, ,Castelaccio, ,, ,,de Castelaccio  ,,
de, ,Casteletto, ,, ,,de Casteletto  ,,
de, ,Castellana, ,, ,,de Castellana  ,,
de, ,Castellana, ,, ,,de Castellana  ,,
de, ,Castello, ,, ,,de Castello  ,,
de, ,Castilegia, ,, ,,de Castilegia  ,,
de, ,Castiliono, ,, ,,de Castiliono  ,,
de, ,Castro, ,, ,,de Castro  ,,
de, ,Castronovo, ,, ,,de Castronovo  ,,
de, ,Cavero, ,, ,,de Cavero  ,,
de, ,Cavo, ,, ,,de Cavo  ,,
de, ,Cazerio, ,, ,,de Cazerio  ,,
de, ,Celexola, ,, ,,de Celexola  ,,
de, ,Cella, ,, ,,de Cella  ,,
de, ,Celle, ,, ,,de Celle  ,,
de, ,Cerago, ,, ,,de Cerago  ,,
de, ,Cernello, ,, ,,de Cernello  ,,
de, ,Ceva, ,, ,,de Ceva  ,,
de, ,Chio, ,, ,,de Chio  ,,
de, ,Ciba, ,, ,,de Ciba  ,,
de, ,Cicliano, ,, ,,de Cicliano  ,,
de, ,Circulis, ,, ,,de Circulis  ,,
de, ,Clapis, ,, ,,de Clapis  ,,
de, ,Clavaro,,, ,,de Clavaro ,,
de, ,Clavica, ,, ,,de Clavica  ,,
de, ,Clerano, ,, ,,de Clerano  ,,
de, ,Cogoleto, ,, ,,de Cogoleto  ,,
de, ,Columnis, ,, ,,de Columnis  ,,
de, ,Compagnone, ,, ,,de Compagnone  ,,
de, ,Compiano, ,, ,,de Compiano  ,,
de, ,Comunalis, ,, ,,de Comunalis  ,,
de, ,Contreras, ,, ,,de Contreras  ,,
de, ,Corexio, ,, ,,de Corexio  ,,
de, ,Corio, ,, ,,de Corio  ,,
de, ,Coronato,,, ,,de Coronato ,,
de, ,Corpelo, ,, ,,de Corpelo  ,,
de, ,Corvaria, ,, ,,de Corvaria  ,,
de, ,Credenza, ,, ,,de Credenza  ,,
de, ,Cremona, ,, ,,de Cremona  ,,
de, ,Crivellis, ,, ,,de Crivellis  ,,
de, ,Crovaria, ,, ,,de Crovaria  ,,
de, ,Cruce,,, ,,de Cruce ,,
de, ,Crugnono, ,, ,,de Crugnono  ,,
de, ,Cruxilia, ,, ,,de Cruxilia  ,,
de, ,Cucurno, ,, ,,de Cucurno  ,,
de, ,Cuneo, ,, ,,de Cuneo  ,,
de, ,Curlis, ,, ,,de Curlis  ,,
de, ,Dallo, ,, ,,de Dallo  ,,
de, ,Daniele, ,, ,,de Daniele  ,,
de, ,Davania, ,, ,,de Davania  ,,
de, ,Demetrio, ,, ,,de Demetrio  ,,
de, ,Dernixio, ,, ,,de Dernixio  ,,
de, ,Deva, ,, ,,de Deva  ,,
