old_id,resource_id,tileid,nodegroup,Unnamed: 4
,,,dhim_1_dhif_2_has_parent  (n),
23123,39947a34-30a1-442a-a91a-2804bfc2c34c,,,[{'resourceId': 'c8a5a67c-ed37-4caf-92ab-74eff1dbd8da'}]
23124,acc1b712-dda0-492c-9017-521498e33939,,,[{'resourceId': '56478253-10da-4226-b513-87ad3e087655'}]
23125,ca55a7bd-f876-464e-9ba9-00b294b5414e,,,[{'resourceId': '52ecb231-73f2-472e-a4c8-eac41fea3ad7'}]
23126,f7f19afa-7ff2-477f-95d2-ebeeb10bd2a9,,,[{'resourceId': '3df8ccaf-b7e3-4def-ad89-3ae5958672a6'}]
23127,56478253-10da-4226-b513-87ad3e087655,,,[{'resourceId': 'ca55a7bd-f876-464e-9ba9-00b294b5414e'}]
23128,b80c502b-72ec-4544-a7ab-aad42e91a73a,,,
23129,a2c559e9-73c2-4c2d-acce-a82c6bf3cc6f,,,
23130,3a563154-1803-4715-924c-ef9900a820d3,,,[{'resourceId': 'a2c559e9-73c2-4c2d-acce-a82c6bf3cc6f'}]
23131,c637e183-ddf9-467e-8c2c-f295f14ee7a3,,,
23132,692d49c8-8541-47e5-84cf-252dc4899041,,,
23133,6db335df-3f6c-4d43-b95b-ae7c96ad318e,,,[{'resourceId': '692d49c8-8541-47e5-84cf-252dc4899041'}]
23134,c8a5a67c-ed37-4caf-92ab-74eff1dbd8da,,,
23135,03267065-45b6-4b97-9d61-fd61287e9dc9,,,[{'resourceId': 'f7f19afa-7ff2-477f-95d2-ebeeb10bd2a9'}]
23137,6b8ebdf7-0c6a-4544-8b64-91cb19764d62,,,[{'resourceId': 'f35202af-c960-4537-89bc-03c677dac832'}]
23138,3edc127c-a767-4bc7-9a4d-4cef04f4e30e,,,[{'resourceId': 'e20716e6-7be7-48fb-82d1-67e25ffb3a95'}]
23139,7cbc198a-d5d8-4011-9d2d-608780460810,,,[{'resourceId': '5e29aa7a-66be-4a9a-a6e1-01a0037e165f'}]
23140,dc5209e7-6741-47cf-985b-7ed3850ae9b4,,,[{'resourceId': '27958a94-436f-4d83-bd94-793985fb620a'}]
23140,dc5209e7-6741-47cf-985b-7ed3850ae9b4,,,[{'resourceId': '2b24bf29-4bd0-46fa-8f69-ddbb7262ae34'}]
23141,cb1b2a49-b725-4f2f-857a-1933cff4d7bc,,,
23142,2b24bf29-4bd0-46fa-8f69-ddbb7262ae34,,,[{'resourceId': '5e29aa7a-66be-4a9a-a6e1-01a0037e165f'}]
23143,5e29aa7a-66be-4a9a-a6e1-01a0037e165f,,,[{'resourceId': 'f4028ea7-fdf5-43f8-a05d-a653cd24632f'}]
23145,914e364b-7f64-48e1-8368-4dacbc0e8c1c,,,[{'resourceId': 'cb1b2a49-b725-4f2f-857a-1933cff4d7bc'}]
23146,f3fe8d3f-09e6-429f-afe8-7f7b6d5291bb,,,[{'resourceId': 'f35202af-c960-4537-89bc-03c677dac832'}]
23147,e20716e6-7be7-48fb-82d1-67e25ffb3a95,,,
23148,ba243a8a-b282-48e3-86d6-f90fdb7ae1f5,,,[{'resourceId': '5e29aa7a-66be-4a9a-a6e1-01a0037e165f'}]
23149,5c4e40d2-eea8-4ac5-b2f1-f683995de2bf,,,[{'resourceId': '2b24bf29-4bd0-46fa-8f69-ddbb7262ae34'}]
23149,5c4e40d2-eea8-4ac5-b2f1-f683995de2bf,,,[{'resourceId': '42232586-1b9c-4852-83a4-47a5addf0ab5'}]
23150,07f148bc-5081-461f-bf45-21c9fc60c096,,,[{'resourceId': '27958a94-436f-4d83-bd94-793985fb620a'}]
23150,07f148bc-5081-461f-bf45-21c9fc60c096,,,[{'resourceId': '2b24bf29-4bd0-46fa-8f69-ddbb7262ae34'}]
23151,f35202af-c960-4537-89bc-03c677dac832,,,[{'resourceId': 'f4028ea7-fdf5-43f8-a05d-a653cd24632f'}]
23152,4c553284-883a-4899-b7e8-2f5a1599f61e,,,[{'resourceId': '4604d09c-c39b-46e5-b67e-e08381d6e8ad'}]
23153,5e85e5a9-9603-432d-9ae4-e8027238e38f,,,[{'resourceId': '90a0a948-6611-4159-9b96-7227687954d8'}]
23154,4604d09c-c39b-46e5-b67e-e08381d6e8ad,,,
23155,e1baabbb-dcb2-40da-a173-cd22c325b5ee,,,[{'resourceId': 'ea768a66-b33b-4e27-9397-c68f46b1d273'}]
23156,90a0a948-6611-4159-9b96-7227687954d8,,,
23157,c73dacd7-f0d0-4263-982f-2152447b1cd3,,,[{'resourceId': 'e1baabbb-dcb2-40da-a173-cd22c325b5ee'}]
23158,f7257240-5435-4736-9c4f-ea2667633dda,,,
23159,f9b2a79d-6fb6-4bab-877b-7a54c669ae2f,,,
23160,ea178f35-8814-46e0-b8b0-a2cde5badbea,,,[{'resourceId': 'f9b2a79d-6fb6-4bab-877b-7a54c669ae2f'}]
23161,58fcf64f-9636-45cc-adf8-35cbb550026c,,,[{'resourceId': '6c4f0879-6f82-4edd-a5f0-2f48bb56c8cb'}]
23162,cdf8188d-eacd-4f39-b4ff-3c19792d068f,,,[{'resourceId': 'fc10299a-7f51-4bc1-9e8d-56de62156bbe'}]
23164,fb4e2a4f-b12e-4d35-bf7f-80792120bb51,,,
23165,b1e6c281-4dba-4091-a5e4-a487ec882748,,,
23166,a0f34a06-1f43-4b63-ac5e-79b436270367,,,[{'resourceId': '141d2a28-90ea-4102-965a-99cc05dc9c98'}]
