Start date,End date,Name,Number,Note
14430101,14441231,Iohannes Scalia,7,
14430101,14441231,Thomas Ususmaris,8,
,, ,,
14450101,14451231,Marcus de Cassina,1,
14450101,14451231,Franciscus de Franchis olim Vignosus,2,
14450101,14451231,Baptista de Furnariis,3,
14450101,14451231,Petrus de Mari,4,
14450101,14451231,Martinus de Oliva,5,
14450101,14451231,Iohannes Iustinianus olim de Campis,6,
14450101,* 14450618,Baptista Lomelinus,7,
14450101,14451231,Benedictus q. Luciani Spinula,8,
* 14450818,14451231,Benedictus Lomelinus,"7,1",S
,, ,,
14460101,14461231,Dominicus Bartholomeus de Auria,1,
14460101,14461231,Antonius de Casana,2,
14460101,14461231,Lucianus de Grimaldis,3,
14460101,14461231,Edoardus de Prementorio,4,
14460101,14461231,Bartholameus de Zoalio,5,
14460101,14461231,Ieronimus Lercarius,6,
14460101,14461231,Manuel Salvaigus,7,
14460101,14461231,Christoforus Tonsus,8,
,, ,,
14470101,14471231,Badasar Ceba,1,
14470101,14471231,Guirardus de Goano,2,
14470101,14471231,Urbanus de Nigro,3,
14470101,14471231,Lodisius de Oliva,4,
14470101,14471231,Ilarius Grillus,5,
14470101,14471231,Simon Iustinianus,6,
14470101,14471231,Andalo Maruffus,7,
14470101,14471231,Albertus Spinula,8,
,, ,,
14480101,14481231,Petrus Baptista de Auria,1,
14480101,14481231,Dominicus de Bargalio,2,
14480101,14481231,Andreas de Franchis Turturinus,3,
14480101,14481231,Augustinus de Furnariis,4,
14480101,14481231,Andreas de Marinis,5,
14480101,14481231,Obertus de Rocha,6,
14480101,14481231,Barnabas de Vivaldis,7,
14480101,14481231,Baptista q. Georgii Lomelinus,8,
,, ,,
14490101,14491231,Darius Calvus,1,
14490101,14491231,Gaspar Cattaneus,2,
14490101,14491231,Thomas de Domoculta,3,
14490101,14491231,Lucas de Grimaldis,4,
14490101,14491231,Nicolaus de Monelia,5,
14490101,14491231,Paulus Iudex,6,
14490101,14491231,Iacobus q. Antonii Iustinianus,7,
14490101,14491231,Francus q. Oberti Spinula,8,
,, ,,
14500101,14501231,Paulus de Auria,1,
14500101,14501231,Marcus de Cassina,2,
14500101,* 14500421,Petrus de Mari,3,
14500101,14501231,Iacobus de Oliva,4,
14500101,14501231,Iacobus de Riparolio,5,
14500101,14501231,Stephanus Lomelinus,6,
14500101,14501231,Iohannes Scalia,7,
14500101,14501231,Thomas Ususmaris,8,
* 14500608,14501231,Brancaleo Grillus,"3,1",S
,, ,,
14510101,14511231,Gaspar Gentilis,1,
14510101,14511231,Lucianus de Grimaldis,2,
14510101,14511231,Manuel q. Antonii de Rapallo,3,
14510101,14511231,Iohannes Iustinianus olim de Campi,4,
14510101,14511231,Baldasar Maruffus,5,
14510101,14511231,Antonius Navonus,6,
14510101,14511231,Franciscus Salvaigus,7,
14510101,14511231,Baptista q. Georgii Spinula,8,
,, ,,
14520101,14521231,Michael Capelinus,1,
14520101,14521231,Bartholomeus q. Iacobi de Auria,2,
14520101,14521231,Antoniotus de Franchis Turturinus,3,
14520101,14521231,Iohannes de Invrea,4,
14520101,14521231,Donainus de Marinis,5,
14520101,14521231,Pelegrus de Prementorio,6,
14520101,14521231,Darius de Vivaldis,7,
14520101,14521231,Baptista q. Georgii Lomelinus,8,
,, ,,
14530101,14531231,Filippus Cattaneus,1,
14530101,14531231,Nicolaus de Furnariis,2,
14530101,14531231,Guirardus de Goano,3,
14530101,14531231,Nicolaus de Grimaldis olim Ceba,4,
14530101,14531231,Urbanus de Nigro,5,
14530101,14531231,Iohannes de Triadano,6,
14530101,14531231,Andalo Maruffus,7,
14530101,14531231,Benedictus q. Luciani Spinula,8,
,, ,,
14540102,14541231,Antonius q. Petri de Auria,1,
14540102,14541231,Iacobus de Axereto,2,
14540102,14541231,Pelegrus de Monelia,3,
14540102,14541231,Simon de Nigrono,4,
14540102,14541231,Antonius de Ponte,5,
14540102,14541231,Antonius q. Iacobi Iustinianus,6,
14540102,14541231,Egidius Lomelinus,7,
14540102,14541231,Meliadux Salvaigus,8,
,, ,,
14550101,14551231,Antonius q. Guirardi Caffarotus,1,
14550101,14551231,Antonius q. Guirardi de Casana,2,
14550101,14551231,Martinus de Grimaldis,3,
14550101,14551231,Marcus de Marinis,4,
14550101,14551231,Antonius q. Guirardi Gentilis,5,
14550101,14551231,Paulus Iudex,6,
14550101,14551231,Franciscus Scalia,7,
14550101,14551231,Iacobus q. Bartholomei Spinula de Luculo,8,
,, ,,
14560101,14561231,Paulus de Auria,1,
14560101,14561231,Silvester de Brignali,2,
14560101,14561231,Baptista q. Raphaelis de Cassina,3,
14560101,14561231,Iacobus q. Hectoris de Flisco,4,
14560101,14561231,Andronicus de Franchis de Burgaro,5,
14560101,14561231,Gaspar Christoferi de Passano,6,
14560101,14561231,Antonius Mathei Lomelinus,7,
14560101,14561231,Thobias Damiani Pallavicinus,8,
,, ,,
14570101,14571231,Iohannes Ambrosius de Marinis,1,
14570101,14571231,Petrus q. Antonii de Oliva,2,
14570101,14571231,Darius de Vivaldis,3,
14570101,14571231,Iohannes q. Danielis Iustinianus,4,
14570101,14571231,Franciscus Salvaigus,5,
14570101,14571231,Bendinellus Sauli,6,
14570101,* 14571008,Baptista q. Georgii Spinula,7,
14570101,14571231,Ieronimus notarius Stella,8,
* 14571205,14571231,Antonius q. Ambrosii Spinula,"7,1",S
,, ,,
14580101,14581231,Lodisius de Auria,1,
14580101,14581231,Antonius de Canali,2,
14580101,14581231,Benedictus de Nigro,3,
14580101,14581231,Antonius de Sale,4,
14580101,14581231,Badasar Lomelinus,5,
14580101,14581231,Iulianus Maruffus,6,
14580101,14581231,Iohannes Piccamilium,7,
14580101,14581231,Lucas Salicetus,8,
,, ,,
14590101,14591231,Iohannes de Bartolomeo,1,
14590101,14591231,Thomas de Columnis Castanea,2,
14590101,14591231,Iohannes de Domoculta,3,
14590101,14591231,Paulus de Franchis olim Turturinus,4,
14590101,14591231,Manuel de Grimaldis olim de Oliva,5,
14590101,14591231,Dominicus de Prementorio,6,
14590101,14591231,Marcus Grillus,7,
14590101,14591231,Obertus Spinula,8,
,, ,,
14600101,14601231,Brancaleo de Auria,1,
14600101,14601231,Urbanus de Nigro,2,
14600101,14601231,Andreas notarius de Rocha,3,
14600101,14601231,Nicolaus Italianus,4,
14600101,14601231,Paulus Iustinianus,5,
14600101,14601231,Gregorius Lomelinus,6,
14600101,14601231,Bartholomeus Sauli,7,
14600101,14601231,Christoforus Venerosus,8,
,, ,,
14610101,14611231,Filippus de Camilla,1,
14610101,14611231,Iohannes Baptiusta Luce de Grimaldis,2,
14610101,14611231,Iacobus de Guiso,3,
14610101,14611231,Bartholomeus stagnarius de Parma,4,
