o:id,name,family,source-name(s),patrilineage,o:loconym,edoa,ldoa,o:gender,o:occuptn,o:nationality,o:spouse,o:parent,o:children,identifier,url,note
42082,Facino de Sancto Salvatore,de Sancto Salvatore,,Facino de Sancto Salvatore q. Francesco q. Petrino,,,1374,44817,,,,,37203,b993c3e1-f454-49a4-b802-775d1fee319b,http://www.genoesemerchantnetworks.com/s/main/item/42082,"ASCGe, Manoscritti 27, fols. 23: ""1145 Anselmus de Sancto Salvatore—1212 Armanus—1245 Obertus—1277 Petrinus—1321 Franciscus—1374 Facinus—1406 Iacobus"""
44849,Facino Stella,Stella,Facino di Triora notario,,,1328,1384,44817,26036,44852 | 31356,,,44853 | 30527,4ea317e1-7d73-4ab0-a62d-e3348f68a308,http://www.genoesemerchantnetworks.com/s/main/item/44849,"ASCGe, Manoscritti 56, fol. 278: ""Facino di Triora notario e sua cartina 1328… nominato in liber Capalis 1355… cancelliero 1357… consigliero mandato ad invitare il Papa 1367 in Giustiniani c. 138… ma ciò fu sino al tempo di Boccanegra, come quivi si enotia [??], padre di Giovanni, e di Giorgio come in conventione di Diano c. 12 e Recco in famiglia Cattanea, sindico al Re d’Aragona 1371… in compera 1378… vistatore delle fortezza 1378… commessario in Riviera 1384."""
43634,Fantone Caldera,Caldera,Caldera... Fantoni,,,,,44817,,,,,43633,37dad13c-9d36-47bf-98b1-62ae81ef62b5,http://www.genoesemerchantnetworks.com/s/main/item/43634,
23373,Fasano Doria,Doria,,Fasano Doria q. Ansaldo,,1316,1326,44817,,,24392,23333,,982a1312-8a32-488f-b68b-2b852b41081a,http://www.genoesemerchantnetworks.com/s/main/item/23373,
35126,Fatema,,quandam sclavam... nominatam Fatema de progenie Teuclorum,,,1455,1485,44818,,31560,,,,2ac39d45-e118-4aa4-b085-4a6b4c390bea,http://www.genoesemerchantnetworks.com/s/main/item/35126,
23104,Faustina de Blaxia,de Blaxia,Faustina Biassa,Faustina de Blaxia q. Antonio,,,,44818,,,24686,23103,,5aa58604-3250-4275-abbc-8c241b190290,http://www.genoesemerchantnetworks.com/s/main/item/23104,
25448,Faustina de Passano,de Passano,,Faustina de Passano q. Giovanni Battista de,,,,44818,,,24501,25449,,8743c407-a48f-4fba-9df4-2d41dc4fddc1,http://www.genoesemerchantnetworks.com/s/main/item/25448,
24302,Faustina Lomellini,Lomellini,,Faustina Lomellini q. Leonardo q. Girolamo,,,1594,44818,,,23249,24659 | 23659,,13d8f601-0486-4522-96cd-c10275546538,http://www.genoesemerchantnetworks.com/s/main/item/24302,
39558,Federico Boccanegra,Boccanegra,Frederici Boccanegre,,,1378,1403,44817,,31356,38679,,42234,7b99e176-ad3a-4e29-9ff2-99a7b2468212,http://www.genoesemerchantnetworks.com/s/main/item/39558,"ASCGe, Manoscritti 16, fols. 243r: ""1403 Federico Boccanegra fu uno de Padri del Comune."""
42234,Federico Boccanegra,Boccanegra,Frederico Buchanigra quondam Frederici... civ[e] Ianue | Federico Boccanegra quondam Federici,Federico Boccanegra q. Federico,,1434,1466,44817,,31356,,39558 | 38679,,1a8e8d04-c39b-46f3-8835-5c6c37039bbc,http://www.genoesemerchantnetworks.com/s/main/item/42234,"ASCGe, Manoscritti 16, fols. 243r: ""1438 Federico Boccanegra quondam Federici accettò Geronimo Chiaveri in famiglia Boccanegra… sua moglie fu Petrina."" | ASCGe, Manoscritti 55, fols. 54-55: ""Federico quondam Federici accetta Geronimo Chiavari in la famiglia 1438… nominato in Iohannes de Luco 1458… d’un magistrato 1444… come in quaterno UF in lista per magistrato 1453… nominato 1457… in focaggi 1464… sua moglie Petrina in quinterno [+] 1434."""
40587,Federico Canella,Canella,Frederico Canella quondam Therami civ[e] Ianue,Federico Canella q. Teramo,,1432,1477,44817,,,,26060,,40a319fc-797d-4ac0-9331-8f72b53bcc0b,http://www.genoesemerchantnetworks.com/s/main/item/40587,"ASCGe, Manoscritti 52, fol. 148: ""Federigo in Giovanni del Luco 1477."""
42407,Federico Canella,Canella,Canella... Federici,,,,,44817,,,,,23161,6c4f0879-6f82-4edd-a5f0-2f48bb56c8cb,http://www.genoesemerchantnetworks.com/s/main/item/42407,
23668,Federico Cebà,Cebà,,,,,,44817,,,,,23712,25d2feff-ec86-4195-9a92-f9cf4b658166,http://www.genoesemerchantnetworks.com/s/main/item/23668,
23249,Federico Centurione,Centurione,,,,,,44817,,,24302,,,225f35b9-76f6-43ad-af23-80ae3ef0b701,http://www.genoesemerchantnetworks.com/s/main/item/23249,
23250,Federico Centurione,Centurione,Fredericem Centurionem civem Ianue | Frederico Centuriono civi Ianue | Federico Centurione Becchignone | Centurionus... Frederici,Federico Centurione q. Paolo,,1424,1465,44817,,31356,24189,23270 | 24192,37144 | 37172 | 42086,d6d5d3d0-1846-4251-9a26-9acb6a497135,http://www.genoesemerchantnetworks.com/s/main/item/23250,"ASCGe, Manoscritti 54, fol. 34v: ""Federico consigliero 1499 [sic., 1449?]… d’un magistrato in lista 1451… Officiale di Mercanzia 1453… e d’Aragona 1457… capitano della Città, anziano 1458 e 60… medio Gibellino 1460… anziano 1465… Officiale di Moneta 1465."""
31062,Federico Centurione,Centurione,Federico Centurione Cantelli,,,1399,1433,44817,,,,,23240 | 31061,247ea988-224c-4c75-add6-a4308199e294,http://www.genoesemerchantnetworks.com/s/main/item/31062,"ASCGe, Manoscritti 54, fol. 31r: ""Federico olim Cantello procuratore di Giovanni Sauli in atti di Teramo Maggiolo c. 145… in compera 1399 e 1402… debitore a San Siro 1433."""
26875,Federico Cicala,Cicala,Federico Cicala quondam Costantini | Cigala Federico quondam Costantini | Frederico Cigala civis Ianue quondam Constantini,Federico Cicala q. Costantino q. Simone,,1431,1486,44817,,31356,,40585,42037,efc56912-e16d-43ce-9c3f-7bbfa598fcdf,http://www.genoesemerchantnetworks.com/s/main/item/26875,"ASCGe, Manoscritti 54, fol. 55r: ""Federico quondam Costantini 1453… consigliero 1456… medio Gibellino 1460… officiale di Moneta 1464… di San Giorgio 1466, 74… di Gazaria 1480… di San Giorgio 1484, 86… commissario per la strada di Fanolo 1480… sua figlia Bartolomea moglie di David Cibo 1436 [sic. probably 1536]."""
30273,Federico Contarino,Contarino,veneto Federico Contarino,,,1415,1440,44817,,44344,,,,29f73325-7e8f-4868-b23c-90c5e8670477,http://www.genoesemerchantnetworks.com/s/main/item/30273,
31517,Federico de Franchi,de Franchi,Frederico de Franchis Tonso Christofori civi... Ianue | Frederico Toso,Federico de Franchi q. Cristoforo,,1429,1454,44817,,31356,,31518,,bdcc98e3-df08-4be5-a80c-0830186f1ccd,http://www.genoesemerchantnetworks.com/s/main/item/31517,
44982,Federico de Franchi,de Franchi,de Franchis... domini Frederici | Federico di Pagana quondam Nicolai,Federico de Franchi q. Niccolò de Pagana,,1329,1393,44817,,31356,,41695,29945,bda0246f-cae4-4447-9d5d-5e584756a62d,http://www.genoesemerchantnetworks.com/s/main/item/44982,"ASCGe, Manoscritti 53, fol. 292: ""Federico di Pagana quondam Nicolai anziano 1355, 1358… vicario della Riviera di Ponente 1357… ambasciatore al Duca di Milano 1363… iterum 1366… elettor del Doge Adorno 1363… anziano 1368… ambasciatore all’Imperatore 1365… anziano 1371, 1373, 1376, 1378 e 1380… ambasciatore al Signor di Padoa 1384… entro nell’albergo de Franchi 1393… ambasciatore al Duca di Milano 1384… sua moglie Cebà."""
39665,Federico de Mari,de Mari,Frederici de Mari,Federico de Mari q. Marco,,1432,1457,44817,,,,40575,39664,74f5a8d3-34a6-4297-b231-874b06b23cd3,http://www.genoesemerchantnetworks.com/s/main/item/39665,"See Battilana, Spinola, plate 88."
23619,Federico Grillo,Grillo,,,,,,44817,,,,,23638,e7b3c70b-826b-4c73-ace4-e2ad7f7a7342,http://www.genoesemerchantnetworks.com/s/main/item/23619,
44808,Federico Imperiale,Imperiale,Imperiale... Federico,,,,,44817,,,,,44807,31602e27-1619-4307-a03c-45634f99fbe2,http://www.genoesemerchantnetworks.com/s/main/item/44808,
24303,Federico Lomellini,Lomellini,,Federico Lomellini q. Percivale q. Andrea,,,1311,44817,,,,24998,24999 | 24771 | 24298,742c7ef9-aa77-48cb-92c7-82048dcf5067,http://www.genoesemerchantnetworks.com/s/main/item/24303,
26425,Federico Spinola,Spinola,Frederico Spinula quondam Blasii civi... Ianue,Federico Spinola q. Biaggio,,1428,1453,44817,,31356,,26426 | 41875,,47b938cc-8cca-4527-ada8-1465a6c57628,http://www.genoesemerchantnetworks.com/s/main/item/26425,
26878,Federico Spinola,Spinola,,Federico Spinola q. Barnabà q. Alaone,,1403,1439,44817,,,,41768,,f7bdb428-7854-4dfb-9e9c-a602a18f95eb,http://www.genoesemerchantnetworks.com/s/main/item/26878,"See Battilana, famiglia Spinola, plate 86."
40758,Federico Spinola,Spinola,Frederico Spinula quondam Ade civ[e] Ianue,Federico Spinola q. Adamo q. Oberto,,1436,1471,44817,,31356,,40759,,2d637796-dc8a-4d56-965b-1f7c1b09cc95,http://www.genoesemerchantnetworks.com/s/main/item/40758,"See Battilana, famiglia Spinola, plate 113."
31422,Federico Xabe,Xabe,Frederici Xabe quondam Iacobi,Federico Xabe q. Giacomo,,1428,1453,44817,,,,31423,,45587ecd-04a2-4750-ae4d-e7835d51dd3e,http://www.genoesemerchantnetworks.com/s/main/item/31422,"ASCGe, Manoscritti 52, fol. 717: ""Federigo e sua moglie Brigida figlia del quondam Domenico Grimaldo 1453."""
41667,Felice Garibaldo,Garibaldo,de Garibaldis... Felisi | Felice notaro quondam Nicolai,Felice Garibaldo q. Niccolò,,,1365,44817,26036,,,,41668,3b4c3291-da02-4f96-84bf-d5cd0caa2e88,http://www.genoesemerchantnetworks.com/s/main/item/41667,"ASCGe, Manoscritti 55, fol. 255: ""Felice notaro quondam Nicolai di domini Giulia come in mixtorum Iohannis Nicolai de Paolo 1365."""
23523,Ferdinando Gattinara,Gattinara,,,,,,44817,,,24153,,,b864c194-dd90-43ed-be07-bee344df8f07,http://www.genoesemerchantnetworks.com/s/main/item/23523,
30274,Fererio Dalman,Dalman,Fererio Dalman catalano di Maiorca,,,1407,1432,44817,,42145,,,,83a7d4d6-91a4-40c2-b4ca-bc8558c5e4c4,http://www.genoesemerchantnetworks.com/s/main/item/30274,
35127,Ferrando,,,,,,1485,44817,,31559,,35327,,fa42c3e6-64d7-423d-96ad-e18214cf0b84,http://www.genoesemerchantnetworks.com/s/main/item/35127,
