o:id,identifier,o:spouse
38765,9c7fc449-6ab5-4882-b5bc-2801764c17df,41189
39873,5f672527-d6b3-4e40-9cf5-c5a3cbe802da,29998
41831,7fad60b0-3673-48a6-b4e1-3d6f9db65a3a,41830
23206,c70cf9f9-a298-49b3-804b-a4e96939b64c,24534
42045,e7841cd3-33c4-42b9-94f6-ef6c17074e38,30762
23799,2ba3df00-a217-4762-83d1-693905bbabbd,23476
27184,50409aa3-819c-4309-868f-4ecf7fe484d6,27735
27422,232b7f6f-0a09-475f-8444-4261c2c8581e,42938
39871,e1dfd135-d02c-46f9-a1c8-2bda7da156f3,44010
40695,25a3eb75-c05c-4f6a-a1f4-b1f9821bcae5,40696
25231,3a52accc-8afb-4924-91c9-2df3c4940873,22995
24917,a0f93e14-f97d-4fac-9d1f-a1b92aa9e70c,22996
24025,693457bf-fe82-40c3-91ac-df1010f87582,22999
25234,fadebe02-ff24-43ce-90d4-9ad2d040a377,23001
24752,059a037f-70ac-4464-b1e2-c3ca84681f10,23003
25056,c23c0cb2-d2f5-46ab-8738-59c89e5a87c6,23004
24665,0a81a30b-401f-47f7-9994-3b8bec3cbdec,23006
24207,15269e6a-494f-4104-b96a-0a3d4194b02a,23007
24016,c83ba0b3-9175-404b-b17d-edd925b78b00,23010
24620,22cc1c48-1225-4878-89a2-f1bc55d6225f,23012
24876,b4f40d85-0425-46b4-878e-644a92880a02,23014
24872,f931942c-71c7-418b-9699-f8362cd4c875,23015
24375,f4eac4e8-3bcf-40c7-9718-f0f4b86c69a0,23016
24101,73612254-46a3-4eb7-8917-a5bd03260f06,23017
25085,8f55493a-9c00-4c0f-aa27-ac542ed6849d,23018
25071,3937a47a-47d8-48fd-b651-9befb4b51539,23019
23945,039500c1-943a-4095-b467-38d29bc27196,23021
24430,86ec3565-50b7-4a3e-bcf6-4c1d0394ac11,23023
25205,69821a7b-3cd3-4ceb-9ba8-b6f8422213e2,23025
24477,64b8130f-6215-4891-8fb4-040cb2c533cb,23026
24133,51226acd-b6bd-4a4c-8859-6784ffef1274,23029
24433,0756c613-a49d-4fee-a70a-4265d97da1ef,23030
24170,94ecf1a4-2535-4f47-b415-6c8a8d791652,23031
25208,1d259eca-324c-40ad-8e77-616da2602b27,23037
24002,620c1026-7ee5-4b44-9099-f0942ba058c3,23038
23899,20e944ff-6fa8-408b-a1ee-ca51d15a4d90,23039
25158,0d1b8ba8-8963-4870-89f3-b91fbfb5c9bd,23040
24647,bf20aa3c-4bd2-4e3b-9305-84697b43c180,23041
25202,3a860bce-7a1b-4877-9895-00a02a2cb8c7,23042
24844,def91c21-a7b6-4144-92ad-175f5e445a4d,23043
25194,7774339c-af18-4272-8cd4-c1aa3f4939de,23044
24344,cb6a38ca-cdb9-42db-a0fc-1f59ca979a83,23045
23928,146d9e63-06fa-421a-aba4-3371883b7eff,23046
25022,2cc1be33-1085-403c-b90f-b19e3907c8b4,23049
23915,4b66d7af-a4fc-40f9-90bb-4f6ffb39e693,23050
25084,f80be426-53bd-4a9c-85df-9580bd4dbf20,23051
24172,6ba1edcd-2247-4dae-829c-1c964b8bb1e2,23055
24905,4dae8d38-d0d9-4794-ab07-afec97c895d1,23056
24355,1cc49be5-d42c-46eb-bccc-ecc1f95c3344,23057
24759,8035f718-81a8-439d-a417-9cc7696c705d,23060
24020,b39eb52e-b4ca-4afb-9796-5b6c9498ffaa,23061
25150,0abb72e3-1f30-40a9-8524-be66889b4683,23062
24796,47549ade-05e4-4236-9494-d07a0d86aee2,23064
23889,7bc172b6-8b9d-495a-a19f-e5059d5f4a2b,23068
24205,383f1a9d-bcc6-4568-bcfb-cd6f2285e9f6,23070
25221,5880c17d-8bca-4c8b-b703-dd695328c71e,23075
24749,f75a14af-9e32-4e8a-8029-0615033fc37f,23075
23897,b89ca634-e70a-40a9-99a6-0f44675e5d76,23078
24682,0778c911-941e-4b4c-88d7-11111e7e9fd2,23079
24128,431b0fe9-5551-4797-88d8-84fef0fdc19c,23083
24108,bf7c26d3-f5f7-44ad-a712-ca6c7e9aa11b,23085
23763,437c0fc4-861e-4333-870b-ce5116e11246,23092
23801,52e7ce9c-a2eb-4320-93e0-397b0728c596,23094
23783,a2b3ccc7-4663-4e76-8ec7-bc59c769ab4e,23095
23753,0324f1fc-8f33-4986-bf7f-25c6ac3d22ab,23097
25348,48f2b7dc-a816-441f-ac42-e30451601d61,23097
25514,d0900fdc-525b-46d9-a8ca-1bcfee50cfb9,23098
23769,f73007db-d5b2-42c5-91a2-e239ec897e18,23099
23621,9974f2b4-ee59-4d77-a9a3-9dcddb727a18,23099
24686,c9d53203-414e-4c54-ab74-a3e049a961e2,23104
25023,509c497d-7d14-412d-972d-fdc941cd8cf4,23106
24235,9ff8a659-e050-4e61-8d7b-8e6fe52a85b9,23109
24739,1721fba4-25ce-4aee-beae-a7377529a8c0,23111
24161,7a4d02a0-0bed-448e-8e60-c6ff0f8bf7d3,23115
25140,f621ea21-f423-4046-aa9a-2d2b0eb0e1b4,23119
24148,cb27776b-2a62-4976-8033-eb44e673a983,23120
24992,9a0d82d6-103c-46a4-bdca-1b962a79e24a,23124
25126,97ff8188-c642-40bd-8e25-0cb2eae34277,23131
24595,754894f5-af4a-4f39-b0fb-fa7c546207e3,23133
23086,e0e125d2-f04f-40c9-97dd-74c93390ab8a,23133
24910,7d97a383-675d-4cc9-87e7-188c5788d881,23139
23002,27958a94-436f-4d83-bd94-793985fb620a,23142
25716,42232586-1b9c-4852-83a4-47a5addf0ab5,23142
23032,70e5174f-e17a-4acf-8821-37a4aecd022e,23142
23657,5ab9820e-c68f-45ed-bdf8-34f86708c2db,23148
